sku,name,cost,wholesale_price,msrp,is_discontinued,qty_zoey,qty_shopify,on_hand,units_4w,units_13w,units_52w,rev_zoey_30d,rev_shopify_30d,rev_zoey_7d,rev_shopify_7d,rev_total_30d,rev_total_7d,daily_vel_4w,daily_vel_13w,daily_vel,days_cover,months_cover,lead_time_days,target_units,suggested_order_qty,reorder_flag,overstock_flag,inventory_value,excess_inv_value,blended_price,gp_per_sku
OGSH1830W,Golden Eye Swimmer Head 1/8oz (3/0) White - 2pk,1.82,3.47,5.99,False,54.0,13.0,67.0,0.0,48.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5274725274725275,0.5274725274725275,127.0,4.5,180,105.0,38.0,True,False,121.94,0.0,4.23,161.47
Skirt-TBM-5pk,Frogs Hair Skirt Bream,1.8,3.47,5.99,True,42.0,0.0,42.0,24.0,30.0,84.0,82.2,0.0,0.0,0.0,82.2,0.0,0.8571428571428571,0.32967032967032966,0.32967032967032966,127.4,4.6,180,66.0,24.0,True,False,75.6,0.0,4.23,102.06
OGSH1240GP,Golden Eye Swimmer Head 1/2oz (4/0) Green Pumpkin - 2pk,1.82,3.47,5.99,False,6.0,7.0,13.0,0.0,9.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0989010989010989,0.0989010989010989,131.4,4.7,180,20.0,7.0,True,False,23.66,0.0,4.23,31.33
OGSH1250UN,Golden Eye Swimmer Head 1/2oz (5/0) Unpainted - 2pk,1.82,3.47,5.99,False,30.0,8.0,38.0,0.0,26.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,133.0,4.8,180,57.0,19.0,True,False,69.16,0.0,4.23,91.58
OPC11GBR,Poppin Craw 11 Grams Brown,4.17,5.99,9.99,False,106.0,8.0,114.0,15.0,78.0,108.0,65.88,60.09,0.0,10.14,125.97,10.14,0.5357142857142857,0.8571428571428571,0.8571428571428571,133.0,4.8,180,171.0,57.0,True,False,475.38,0.0,7.19,344.28
OSJ14GS,Pro Swim Jig 1/4oz Ghost Shad,2.16,3.47,5.99,False,42.0,5.0,47.0,19.0,32.0,70.0,40.56,41.93,0.0,5.99,82.49,5.99,0.6785714285714286,0.3516483516483517,0.3516483516483517,133.7,4.8,180,70.0,23.0,True,False,101.52,0.0,4.23,97.29
OSJ38BB,Pro Swim Jig 3/8oz Black /Blue,2.16,3.47,5.99,False,60.0,8.0,68.0,19.0,46.0,150.0,39.48,41.93,0.0,11.98,81.41,11.98,0.6785714285714286,0.5054945054945055,0.5054945054945055,134.5,4.8,180,101.0,33.0,True,False,146.88,0.0,4.23,140.76
ORL1430,Radar Love 1/4 oz,2.94,4.63,7.99,False,114.0,19.0,133.0,19.0,89.0,162.0,83.34,7.99,0.0,0.0,91.33,0.0,0.6785714285714286,0.978021978021978,0.978021978021978,136.0,4.9,180,196.0,63.0,True,False,391.02,0.0,5.64,359.1
OGSH1840W,Golden Eye Swimmer Head 1/8oz (4/0) White - 2pk,1.82,3.47,5.99,False,2.0,16.0,18.0,0.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13186813186813187,0.13186813186813187,136.5,4.9,180,26.0,8.0,True,False,32.76,0.0,4.23,43.38
Skirt-SDM-5pk,Swim Jig Skirt Dirty Money,1.8,3.47,5.99,True,18.0,0.0,18.0,0.0,12.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13186813186813187,0.13186813186813187,136.5,4.9,180,26.0,8.0,True,False,32.4,0.0,4.23,43.74
